species,SLA,WD,H,N,Scientific_name
Antidesma_platyphyllum,12.0192,0.67,11.66666667,21.5,Antidesma platyphyllum
Diospyros_sandwicensis,5.45845,0.755444444,15,10.997125,Diospyros sandwicensis
Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375,Metrosideros polymorpha
Myrsine_lessertiana,8.3681625,0.604153333,8,9.289795652,Myrsine lessertiana
Nestegis_sandwicensis,5.9207,0.66,20,14.91939226,Nestegis sandwicensis
Pisonia_sandwicensis,14.65573912,0.3,9.527572667,16.19283141,Pisonia sandwicensis
Pittosporum_hosmeri,9.803592274,0.57,7.81,17.05912357,Pittosporum hosmeri
Polyscias_hawaiensis,8.689418574,0.493662488,20,20.1228347,Polyscias hawaiensis
Psychotria_hawaiiensis,10.0652,0.51289,14.16,12.8036,Psychotria hawaiiensis
Psydrax_odorata,6.49625,0.833483333,11.08133333,14.447875,Psydrax odorata
Wikstroemia_sandwicensis,12.0199132,0.566714286,5,15.96,Wikstroemia sandwicensis
Acacia_koa,12.649,0.575428571,33.002,30.4871,Acacia koa
Cheirodendron_trigynum,10.25725,0.391625,15.12,14.68055,Cheirodendron trigynum
Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741,Cibotium glaucum
Cibotium_menziesii,9.913585714,0.526551039,8.629333333,16.434,Cibotium menziesii
Ilex_anomala,8.304933333,0.298428571,12,10.92075625,Ilex anomala
Myoporum_sandwicense,6.790133333,0.766333333,16.858,12.9,Myoporum sandwicense
Sophora_chrysophylla,11.06235,0.89167,14.144,26.63406667,Sophora chrysophylla
Colubrina_oppositifolia,11.8624,0.7,19.17441596,29.475,Colubrina oppositifolia
Dracaena_konaensis,14.41061133,0.45247579,8.42517,16.91783467,Dracaena konaensis
Planchonella_sandwicensis,7.624,0.6946187,22.192,20.25,Planchonella sandwicensis
Polyscias_sandwicensis,8.531827597,0.492894055,30,18.88371324,Polyscias sandwicensis
Dracaena_rockii,14.41061133,0.45247579,8.42517,16.91783467,Dracaena rockii
Leptecophylla_tameiameiae,9.471633783,0.612329279,10.26637233,13.77203159,Leptecophylla tameiameiae
Rauvolfia_sandwicensis,10.12039567,0.46,12.26530933,16.76185423,Rauvolfia sandwicensis
Vaccinium_reticulatum,12.88434167,0.8589,2,9.5495,Vaccinium reticulatum
Wikstroemia_monticola,9.782639319,0.52,9.506123292,16.56157728,Wikstroemia monticola
Dodonaea_viscosa,7.349269136,0.932211111,4.657729167,15.8057871,Dodonaea viscosa
Erythrina_sandwicensis,13.0208,0.31,12.62,33.468,Erythrina sandwicensis
Sapindus_oahuensis,10.09129553,0.526756833,17.9916,22.26043448,Sapindus oahuensis
