ID_row,PlotID,Study,geo_entity2,Plot_Area,Lat_Dec,Long_Dec,MAP,Scientific_name,Native_Status,Abundance,prec_range,species,SLA,WD,H,N
1,1,Knight_Barton,O'ahu Island,1000,21.406344,-157.880206,2973.034912,Acacia koa,native,12,wet,Acacia_koa,12.649,0.575428571,33.002,30.4871
2,1,Knight_Barton,O'ahu Island,1000,21.406344,-157.880206,2973.034912,Diospyros sandwicensis,native,3,wet,Diospyros_sandwicensis,5.45845,0.755444444,15,10.997125
3,1,Knight_Barton,O'ahu Island,1000,21.406344,-157.880206,2973.034912,Metrosideros polymorpha,native,34,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
4,1,Knight_Barton,O'ahu Island,1000,21.406344,-157.880206,2973.034912,Nestegis sandwicensis,native,1,wet,Nestegis_sandwicensis,5.9207,0.66,20,14.91939226
5,1,Knight_Barton,O'ahu Island,1000,21.406344,-157.880206,2973.034912,Psydrax odorata,native,14,wet,Psydrax_odorata,6.49625,0.833483333,11.08133333,14.447875
6,541,Hatheway_1952,O'ahu Island,1000,21.5265,-158.156667,1665.01,Bobea gaudichaudii,native,5,mesic,Bobea_gaudichaudii,9.273491267,0.70457219,10.33099721,15.29123261
7,1,Knight_Barton,O'ahu Island,1000,21.406344,-157.880206,2973.034912,Wikstroemia oahuensis,native,1,wet,Wikstroemia_oahuensis,8.4674,0.52,7.575,17.1
8,2,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Cibotium glaucum,native,13,wet,Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741
9,2,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Cibotium menziesii,native,5,wet,Cibotium_menziesii,9.913585714,0.526551039,8.629333333,16.434
10,540,Hatheway_1952,O'ahu Island,400,21.529333,-158.158,1571.82,Caesalpinia kauaiensis,native,6,mesic,Caesalpinia_kauaiensis,10.63046193,0.773583639,14.82057733,26.29169858
11,2,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Diospyros sandwicensis,native,4,wet,Diospyros_sandwicensis,5.45845,0.755444444,15,10.997125
12,2,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Metrosideros polymorpha,native,43,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
13,2,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Polyscias hawaiensis,native,1,wet,Polyscias_hawaiensis,8.689418574,0.493662488,20,20.1228347
14,538,Hatheway_1952,O'ahu Island,400,21.552667,-158.182667,1175.3,Charpentiera ovata,native,2,mesic,Charpentiera_ovata,14.72418252,0.390606281,9.291570667,16.23257484
15,3,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Metrosideros polymorpha,native,36,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
16,6,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Cibotium glaucum,native,15,wet,Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741
17,6,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Cibotium menziesii,native,10,wet,Cibotium_menziesii,9.913585714,0.526551039,8.629333333,16.434
18,6,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Metrosideros polymorpha,native,7,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
19,541,Hatheway_1952,O'ahu Island,1000,21.5265,-158.156667,1665.01,Charpentiera ovata,native,2,mesic,Charpentiera_ovata,14.72418252,0.390606281,9.291570667,16.23257484
20,9,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Metrosideros polymorpha,native,18,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
21,11,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Cibotium glaucum,native,12,wet,Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741
22,11,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Cibotium menziesii,native,19,wet,Cibotium_menziesii,9.913585714,0.526551039,8.629333333,16.434
23,11,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Diospyros sandwicensis,native,2,wet,Diospyros_sandwicensis,5.45845,0.755444444,15,10.997125
24,11,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Metrosideros polymorpha,native,23,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
25,75,PACN_Hawaii,Hawai'i Island,1000,19.12398819,-155.6812879,1501.843018,Cibotium glaucum,native,1,mesic,Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741
26,14,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Metrosideros polymorpha,native,22,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
27,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Cheirodendron trigynum,native,14,wet,Cheirodendron_trigynum,10.25725,0.391625,15.12,14.68055
28,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Coprosma foliosa,native,18,wet,Coprosma_foliosa,13.42004703,0.48,8,18.26007404
29,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Ilex anomala,native,2,wet,Ilex_anomala,8.304933333,0.298428571,12,10.92075625
30,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Melicope clusiifolia,native,4,wet,Melicope_clusiifolia,4.9285,0.460166667,10,21.652
31,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Metrosideros polymorpha,native,28,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
32,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Myrsine lessertiana,native,2,wet,Myrsine_lessertiana,8.3681625,0.604153333,8,9.289795652
33,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Rubus macraei,native,2,wet,Rubus_macraei,10.44220465,0.743030512,14.894384,26.368953
34,85,PACN_Hawaii,Hawai'i Island,1000,19.10573971,-155.6781438,1530.491943,Cibotium glaucum,native,1,mesic,Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741
35,15,Knight_Barton,Maui Nui,1000,20.779832,-156.228992,2360.457031,Vaccinium dentatum,native,22,wet,Vaccinium_dentatum,10.11143741,0.694408,3.3288,13.79185264
36,16,Knight_Barton,Hawai'i Island,1000,19.327124,-155.184747,2226.833008,Dodonaea viscosa,native,6,wet,Dodonaea_viscosa,7.349269136,0.932211111,4.657729167,15.8057871
37,16,Knight_Barton,Hawai'i Island,1000,19.327124,-155.184747,2226.833008,Metrosideros polymorpha,native,48,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
38,16,Knight_Barton,Hawai'i Island,1000,19.327124,-155.184747,2226.833008,Osteomeles anthyllidifolia,native,2,wet,Osteomeles_anthyllidifolia,7.473654545,0.811918182,3.3288,12.1591
39,91,PACN_Hawaii,Hawai'i Island,1000,19.09705682,-155.6754014,1545.546021,Cibotium glaucum,native,1,mesic,Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741
40,17,Knight_Barton,Hawai'i Island,1000,19.326618,-155.183294,2226.833008,Dodonaea viscosa,native,2,wet,Dodonaea_viscosa,7.349269136,0.932211111,4.657729167,15.8057871
41,17,Knight_Barton,Hawai'i Island,1000,19.326618,-155.183294,2226.833008,Metrosideros polymorpha,native,16,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
42,17,Knight_Barton,Hawai'i Island,1000,19.326618,-155.183294,2226.833008,Osteomeles anthyllidifolia,native,1,wet,Osteomeles_anthyllidifolia,7.473654545,0.811918182,3.3288,12.1591
43,2,Zimmerman,Hawai'i Island,1017.88,19.443586,-154.910211,2904.545898,Cibotium menziesii,native,1,wet,Cibotium_menziesii,9.913585714,0.526551039,8.629333333,16.434
44,19,PACN_Hawaii,Maui Nui,1000,20.70758159,-156.1351345,3555.522949,Metrosideros polymorpha,native,2,wet,Metrosideros_polymorpha,4.948601604,0.632495455,23.9624,8.589559375
45,19,PACN_Hawaii,Maui Nui,1000,20.70758159,-156.1351345,3555.522949,Sadleria cyatheoides,native,65,wet,Sadleria_cyatheoides,14.37615343,0.46760498,7.3917,16.49276961
46,20,PACN_Hawaii,Maui Nui,1000,20.69048346,-156.0883058,6459.634766,Acacia koa,native,5,superwet,Acacia_koa,12.649,0.575428571,33.002,30.4871
47,20,PACN_Hawaii,Maui Nui,1000,20.69048346,-156.0883058,6459.634766,Cheirodendron trigynum,native,23,superwet,Cheirodendron_trigynum,10.25725,0.391625,15.12,14.68055
48,20,PACN_Hawaii,Maui Nui,1000,20.69048346,-156.0883058,6459.634766,Cibotium glaucum,native,9,superwet,Cibotium_glaucum,11.85361818,0.596316594,3.048,14.3741
49,20,PACN_Hawaii,Maui Nui,1000,20.69048346,-156.0883058,6459.634766,Cibotium menziesii,native,4,superwet,Cibotium_menziesii,9.913585714,0.526551039,8.629333333,16.434
