"Species1","N","WD","H","SLA"
"Aeonium arboreum",11.98772667,0.362497333,2,9.164572391
"Aeonium urbicum",9.614633333,0.371798,0.9,3.679681194
"Aizoon canariense",34.44972,0.262729333,0.01,15.75621656
"Allagopappus canariensis",11.69626,0.639240333,1.2,20.68691667
"Argyranthemum frutescens",23.55704023,0.28276,0.6,19.84662096
"Argyranthemum gracile",19.64173,0.508309,1.2,19.782351
"Artemisia thuscula",19.85243333,0.563794,1,13.55049043
"Asparagus pastorianus",15.592075,0.457523667,1,15.23432692
"Asparagus umbellatus",18.46627,0.618475333,5,8.617833333
"Astydamia latifolia",14.70160667,0.063726667,0.4,11.05919853
"Bosea yervamora",24.96875667,0.494523,3,12.58848333
"Campylanthus salsoloides",10.58204,0.642814667,2,4.805759669
"Canarina canariensis",32.70938333,0.072435333,3,39.14006303
"Carlina salicifolia",13.15908333,0.543154333,2,8.981129825
"Ceropegia dichotoma",7.991096667,0.364702138,1.5,209.6482963
"Ceropegia fusca",13.49097667,0.1311086,1,255.9633333
"Cheirolophus canariensis",18.68463,0.60308,1.5,11.88639474
"Convolvulus floridus",16.29000667,0.802549333,4,11.48118794
"Convolvulus scoparius",15.38453333,0.708344333,2,64.69406897
"Crithmum maritimum",13.636725,0.353739,0.45,8.433961131
"Echium aculeatum",14.920895,0.497686333,2,4.72052514
"Echium strictum",24.67725,0.464902,1,18.31767076
"Euphorbia aphylla",7.068315,0.207738333,0.8,17.74030558
"Euphorbia atropurpurea",15.90739333,0.338875333,2,14.46040415
"Euphorbia balsamifera",16.16107667,0.238769333,2,9.541428571
"Euphorbia canariensis",22.76097488,0.096924,3,16.32581886
"Forsskaolea angustifolia",25.06195667,0.259622667,2,17.59271334
"Gonospermum fruticosum",22.46676667,0.656868,1.5,17.62688745
"Heliotropium ramosissimum",30.08000333,0.345179333,0.3,10.94539985
"Herniaria canariensis",20.02096,0.72533,0.754,12.96714286
"Hyparrhenia hirta",13.630925,0.612059517,0.9,7.006045455
"Hypericum canariense",20.31695333,0.471335333,4,17.48472868
"Justicia hyssopifolia",30.49351667,0.579852,1,11.16744548
"Kickxia scoparia",10.33451,0.597645,0.7,350.918906
"Kleinia neriifolia",22.16338333,0.285741,3,11.92448228
"Launaea arborescens",14.4784,0.481044,1.5,20.14137751
"Lavandula canariensis",21.3239125,0.55370675,1.5,10.849896
"Limonium pectinatum",22.88613,0.627631667,0.7,20.63857684
"Lotus sessilifolius",24.1210675,0.60303125,0.9677,16.8192691
"Lycium intricatum",17.95608333,0.601894,2,14.3375
