"X6","X7","X8","X11","X12","X19","X20","X21","X22","X32","X33","X34","X38","X39","X45","X46","X76","X78","X86","X112","X113","X114","X115","X137","X139","X149","X150","X151","X154","X155","X170","X171","X172","X175","X176","X184","X186","X188","X191","Species1"
35,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,"Adenocarpus foliolosus"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Aeonium ciliatum"
0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aeonium urbicum"
0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,118,0,0,0,0,106,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,"Andryala pinnatifida"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,0,"Argyranthemum frutescens"
0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1,31,"Artemisia thuscula"
0,0,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Bystropogon canariensis"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Canarina canariensis"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cytisus proliferus"
0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,24,82,29,0,69,58,1,19,0,0,0,0,0,0,0,0,0,0,0,"Cistus symphytifolius"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"Cynara cardunculus"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Dracunculus canariensis"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Echium virescens"
113,0,9,9,0,0,2,1,14,18,0,5,257,57,11,22,12,10,0,0,8,24,1,31,36,86,28,21,7,149,18,6,14,3,0,0,0,0,0,"Erica arborea"
807,12,2,0,0,0,40,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Erica platycodon"
0,0,2,0,0,0,2,0,8,0,0,31,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Globularia salicina"
